Proje,Masraf Merkezi,Proje Kodu,Tip,System, Longtitude ,Latitude
Air Başakşehir,AİR 001,AİR,1+1,Pool, 41.122979 , 28.786065 
Air Başakşehir,AİR 008,AİR,1+1,Pool, 41.122979 , 28.786065 
Air Başakşehir,AİR 009,AİR,1+1,Pool, 41.122979 , 28.786065 
Air Başakşehir,AİR 022,AİR,1+1,Pool, 41.122979 , 28.786065 
Air Başakşehir,AİR 028,AİR,1+1,Pool, 41.122979 , 28.786065 
Air Başakşehir,AİR 031,AİR,2+1,Pool, 41.122979 , 28.786065 
Air Başakşehir,AİR 040,AİR,1+1,Pool, 41.122979 , 28.786065 
Air Başakşehir,AİR 047,AİR,1+1,Pool, 41.122979 , 28.786065 
Air Başakşehir,AİR 048,AİR,1+1,Pool, 41.122979 , 28.786065 
Air Başakşehir,AİR 051,AİR,1+1,Pool, 41.122979 , 28.786065 
Air Başakşehir,AİR 065,AİR,1+1,Pool, 41.122979 , 28.786065 
Air Başakşehir,AİR 066,AİR,2+1,Pool, 41.122979 , 28.786065 
Air Başakşehir,AİR 071,AİR,1+1,Pool, 41.122979 , 28.786065 
Air Başakşehir,AİR 072,AİR,2+1,Pool, 41.122979 , 28.786065 
Air Başakşehir,AİR 074,AİR,2+1,Pool, 41.122979 , 28.786065 
Air Başakşehir,AİR 076,AİR,1+1,Pool, 41.122979 , 28.786065 
Air Başakşehir,AİR 080,AİR,1+1,Pool, 41.122979 , 28.786065 
Air Başakşehir,AİR 084,AİR,1+1,Pool, 41.122979 , 28.786065 
Air Başakşehir,AİR 092,AİR,1+1,Pool, 41.122979 , 28.786065 
Air Başakşehir,AİR 095,AİR,1+1,Pool, 41.122979 , 28.786065 
Air Başakşehir,AİR 097,AİR,1+1,Pool, 41.122979 , 28.786065 
Air Başakşehir,AİR 101,AİR,1+1,Pool, 41.122979 , 28.786065 
Air Başakşehir,AİR 105,AİR,2+1,Pool, 41.122979 , 28.786065 
Air Başakşehir,AİR 111,AİR,1+1,Pool, 41.122979 , 28.786065 
Air Başakşehir,AİR 115,AİR,1+1,Pool, 41.122979 , 28.786065 
Air Başakşehir,AİR 119,AİR,1+1,Pool, 41.122979 , 28.786065 
Air Başakşehir,AİR 122,AİR,1+1,Pool, 41.122979 , 28.786065 
Air Başakşehir,AİR 123,AİR,1+1,Pool, 41.122979 , 28.786065 
Air Başakşehir,AİR 125,AİR,1+1,Pool, 41.122979 , 28.786065 
Air Başakşehir,AİR 128,AİR,1+1,Pool, 41.122979 , 28.786065 
Air Başakşehir,AİR 141,AİR,1+1,Pool, 41.122979 , 28.786065 
Air Başakşehir,AİR 142,AİR,1+1,Pool, 41.122979 , 28.786065 
Air Başakşehir,AİR 152,AİR,1+1,Pool, 41.122979 , 28.786065 
Air Başakşehir,AİR 158,AİR,2+1,Pool, 41.122979 , 28.786065 
Air Başakşehir,AİR 160,AİR,1+1,Pool, 41.122979 , 28.786065 
Air Başakşehir,AİR 162,AİR,1+1,Pool, 41.122979 , 28.786065 
Air Başakşehir,AİR 163,AİR,1+1,Pool, 41.122979 , 28.786065 
Air Başakşehir,AİR 166,AİR,1+1,Pool, 41.122979 , 28.786065 
Air Başakşehir,AİR 167,AİR,1+1,Pool, 41.122979 , 28.786065 
Air Başakşehir,AİR 169,AİR,1+1,Pool, 41.122979 , 28.786065 
Air Başakşehir,AİR 173,AİR,1+1,Pool, 41.122979 , 28.786065 
Air Başakşehir,AİR 176,AİR,1+1,Pool, 41.122979 , 28.786065 
Air Başakşehir,AİR 184,AİR,1+1,Pool, 41.122979 , 28.786065 
Air Başakşehir,AİR 188,AİR,1+1,Pool, 41.122979 , 28.786065 
Air Başakşehir,AİR 191,AİR,1+1,Pool, 41.122979 , 28.786065 
Air Başakşehir,AİR 193,AİR,2+1,Pool, 41.122979 , 28.786065 
Air Başakşehir,AİR 205,AİR,2+1,Pool, 41.122979 , 28.786065 
Air Başakşehir,AİR A008,AİR,1+1,Pool, 41.122979 , 28.786065 
Air Başakşehir,AİR A024,AİR,1+1,Pool, 41.122979 , 28.786065 
Air Başakşehir,AİR A025,AİR,1+1,Pool, 41.122979 , 28.786065 
Air Başakşehir,AİR A107,AİR,1+1,Pool, 41.122979 , 28.786065 
Air Başakşehir,AİR A108,AİR,1+1,Pool, 41.122979 , 28.786065 
Air Başakşehir,AİR A109,AİR,1+1,Pool, 41.122979 , 28.786065 
Air Başakşehir,AİR A110,AİR,1+1,Pool, 41.122979 , 28.786065 
Air Başakşehir,AİR B023,AİR,1+1,Pool, 41.122979 , 28.786065 
"Soul Entertainment
Akbatı",AKB 030,AKB,1+0,Fixed , 41.071702 , 28.664186 
"Soul Entertainment
Akbatı",AKB 031,AKB,1+0,Fixed , 41.071702 , 28.664186 
"Soul Entertainment
Akbatı",AKB 032,AKB,1+0,Fixed , 41.071702 , 28.664186 
"Soul Entertainment
Akbatı",AKB 033,AKB,1+0,Fixed , 41.071702 , 28.664186 
"Soul Entertainment
Akbatı",AKB 034,AKB,1+0,Fixed , 41.071702 , 28.664186 
"Soul Entertainment
Akbatı",AKB 035,AKB,1+0,Fixed , 41.071702 , 28.664186 
"Soul Entertainment
Akbatı",AKB 036,AKB,1+0,Fixed , 41.071702 , 28.664186 
